Thermal Conductivity(W/mK),Source,Sintering Pressure,Oxygen,Particle size(d50 um),Purity,Sintering Add(2:5::Y:M),Y,Yb,M,Mn,L,Eu,C,Al,N2/N2:H2 = 1/0,Nitriding Temperature(degC),Nitriding Time(h),Sintering Temperature(degC),Sintering Time(h),RD,Verified
83.7,SRBSN16,0.9,1.09,1.68,99.99,Y2O3:MgSiN2 + Al(wt%) = 2:5 0.01,2,0,0,5,0,0,0,0.01,1,1400,8,1900,6,99.1,Yes
74.1,SRBSN16,0.9,1.09,1.68,99.99,Y2O3:MgSiN2 + Al(wt%) = 2:5 0.1,2,0,0,5,0,0,0,0.1,1,1400,8,1900,6,99.1,Yes
66.2,SRBSN16,0.9,1.09,1.68,99.99,Y2O3:MgSiN2 + Al(wt%) = 2:5 0.2,2,0,0,5,0,0,0,0.2,1,1400,8,1900,6,99.1,Yes
58,SRBSN16,0.9,1.09,1.68,99.99,Y2O3:MgSiN2 + Al(wt%) = 2:5 0.4,2,0,0,5,0,0,0,0.4,1,1400,8,1900,6,98.5,Yes
61,reg,0.1,,1,99,Y:M 1:5,1,0,5,0,0,0,0,0,1,1350,6,1800,6,,Yes
63,reg,0.1,,1,99,Y:M 2:5,2,0,5,0,0,0,0,0,1,1350,6,1800,6,,Yes
65.5,reg,0.1,,1,99,Y:M 5:5,5,0,5,0,0,0,0,0,1,1350,6,1800,6,,Yes
79,reg,1,,1,99,Y:M 1:5,1,0,5,0,0,0,0,0,1,1350,6,1900,6,,Yes
85,reg,1,,1,99,Y:M 2:5,2,0,5,0,0,0,0,0,1,1350,6,1900,6,,Yes
76,reg,1,,1,99,Y:M 5:5,5,0,5,0,0,0,0,0,1,1350,6,1900,6,,Yes
85,reg,1,,1,99,Y:M 0.5:5,0.5,0,5,0,0,0,0,0,1,1350,6,1950,6,,Yes
89,reg,1,,1,99,Y:M 1:5,1,0,5,0,0,0,0,0,1,1350,6,1950,6,,Yes
94,reg,1,,1,99,Y:M 2:5,2,0,5,0,0,0,0,0,1,1350,6,1950,6,,Yes
84,reg,1,,1,99,Y:M 5:5,5,0,5,0,0,0,0,0,1,1350,6,1950,6,,Yes
107,reg,1,,1,99,Y:M 0.5:5,0.5,0,5,0,0,0,0,0,1,1350,6,1950,18,,Yes
109,reg,1,,1,99,Y:M 1:5,1,0,5,0,0,0,0,0,1,1350,6,1950,18,,Yes
110,reg,1,,1,99,Y:M 2:5,2,0,5,0,0,0,0,0,1,1350,6,1950,18,,Yes
94,reg,1,,1,99,Y:M 5:5,5,0,5,0,0,0,0,0,1,1350,6,1950,18,,Yes
74,Drivept1,0.9,After milling data only,1,99.9,Yes,2,0,5,0,0,0,0,0,0,1450,0,1900,6,99.4,
75,Drivept1,0.9,After milling data only,1,99.9,Yes,2,0,5,0,0,0,0,0,0,1450,0,1900,6,98.5,
77,Drivept1,0.9,After milling data only,1,99.9,Yes,2,0,5,0,0,0,0,0,0,1450,0,1900,6,98.3,
71,Drivept1,0.9,After milling data only,1,99.9,Yes,2,0,5,0,0,0,0,0,0,1450,0,1900,6,97.2,
68.5,Drivept1,0.9,After milling data only,1,99.9,1:3,1,0,3,0,0,0,0,0,0,1450,0,1900,6,98.7,
76.5,Drivept1,0.9,After milling data only,1,99.9,1:3,1,0,3,0,0,0,0,0,0,1450,0,1900,6,98.5,
77,Drivept1,0.9,After milling data only,1,99.9,1:3,1,0,3,0,0,0,0,0,0,1450,0,1900,6,98.1,
68,Drivept1,0.9,After milling data only,1,99.9,1:3,2,0,5,0,0,0,0,0,0,1450,0,1900,6,97.6,
89.61,PyDrive15,1,0.91,4.6,99.9999,Yes,0.45,0,1.15,0,0,0,0,0,0,1450,2.5,1950,3,98.68,
82.56,PyDrive15,1,0.91,4.6,99.9999,Yes,0.45,0,1.15,0,0,0,0,0,0,1450,2.5,1900,3,96.67,
62.39,PyDrive15,1,0.91,4.6,99.9999,Yes,0.45,0,1.15,0,0,0,0,0,0,1450,2.5,1800,3,96.25,
88,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:Y2O3:MgO=93:2:5,2,0,5,0,0,0,0,0,0,1400,4,1850,4,99,
97.7,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:Y2O3:MgO=93:2:5,2,0,5,0,0,0,0,0,0,1400,4,1900,4,99,
55,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:Eu2O3:MgO=93:2:5,0,0,5,0,0,2,0,0,0,1400,4,1850,4,74,
64.1,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:Eu2O3:MgO=93:2:5,0,0,5,0,0,2,0,0,0,1400,4,1900,4,78,
94,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:(Y0.96Eu0.04)2O3:MgO=93:2:5,1.92,0,5,0,0,0.08,0,0,0,1400,4,1850,4,99,
110.3,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:(Y0.96Eu0.04)2O3:MgO=93:2:5,1.92,0,5,0,0,0.08,0,0,0,1400,4,1900,4,99,
84,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:Y2O3:Eu2O3:MgO=93:1.92:.08:,1.92,0,5,0,0,0.08,0,0,0,1400,4,1850,4,91,
94.9,SRBSN14,Not mentioned,0.46,4.35,99.99,Si3N4:Y2O3:Eu2O3:MgO=93:1.92:.08:,1.92,0,5,0,0,0.08,0,0,0,1400,4,1900,4,99,
86,Doubt1,1,,0.36,99.99,Si3N4:Y2O3:MgO = 93:2:5,2,0,5,0,0,0,0,0,1,1400,6,1900,12,99.23,
121,Doubt1,1,,0.36,99.99,Si3N4:Y2O3:MgO = 93:2:5,2,0,5,0,0,0,0,0,1,1400,6,1900,12,99.01,
106.2,Extra1,1,0.28,8.5,99.99,Si3N4:Y2O3:MgO=93:2:5,2,0,5,0,0,0,0,0,1,1340,4,1850,6,98.7,
108.5,Extra1,1,0.28,8.5,99.99,Si3N4:Y2O3:MgO=93:2:5,2,0,5,0,0,0,0,0,1,1375,4,1850,6,99.8,
111,Extra1,1,0.28,8.5,99.99,Si3N4:Y2O3:MgO=93:2:5,2,0,5,0,0,0,0,0,1,1410,4,1850,6,99.5,
111.1,Extra1,1,0.28,8.5,99.99,Si3N4:Y2O3:MgO=93:2:5,2,0,5,0,0,0,0,0,1,1445,4,1850,6,99.2,
112.5,Extra1,1,0.28,8.5,99.99,Si3N4:Y2O3:MgO=93:2:5,2,0,5,0,0,0,0,0,1,1480,4,1850,6,99.2,
97,Extra2,1,0.51,2.7,99.99,2:0,2,0,0,0,0,0,0,0,1,1400,4,1900,6,85.1,
116,Extra2,1,0.51,2.7,99.99,2:1,2,0,1,0,0,0,0,0,1,1400,4,1900,6,96.5,
123,Extra2,1,0.51,2.7,99.99,2:2,2,0,2,0,0,0,0,0,1,1400,4,1900,6,98.6,
124,Extra2,1,0.51,2.7,99.99,2:3,2,0,3,0,0,0,0,0,1,1400,4,1900,6,98.9,
126,Extra2,1,0.51,2.7,99.99,2:4,2,0,4,0,0,0,0,0,1,1400,4,1900,6,99,
125,Extra2,1,0.51,2.7,99.99,2:5,2,0,5,0,0,0,0,0,1,1400,4,1900,6,98.8,
121,Extra2,1,0.51,2.7,99.99,2:6,2,0,6,0,0,0,0,0,1,1400,4,1900,6,98.6,
107,Extra2,1,0.51,2.7,99.99,2:7,2,0,7,0,0,0,0,0,1,1400,4,1900,6,98.5,
98,Extra2,1,0.51,2.7,99.99,2:8,2,0,8,0,0,0,0,0,1,1400,4,1900,6,98.5,
116,Extra2,1,0.51,2.7,99.99,2:0,2,0,0,0,0,0,0,0,1,1400,4,1900,24,86.2,
149,Extra2,1,0.51,2.7,99.99,2:1,2,0,1,0,0,0,0,0,1,1400,4,1900,24,99,
154,Extra2,1,0.51,2.7,99.99,2:2,2,0,2,0,0,0,0,0,1,1400,4,1900,24,99.6,
155,Extra2,1,0.51,2.7,99.99,2:3,2,0,3,0,0,0,0,0,1,1400,4,1900,24,99.7,
156,Extra2,1,0.51,2.7,99.99,2:4,2,0,4,0,0,0,0,0,1,1400,4,1900,24,99.8,
154,Extra2,1,0.51,2.7,99.99,2:5,2,0,5,0,0,0,0,0,1,1400,4,1900,24,99.5,
148,Extra2,1,0.51,2.7,99.99,2:6,2,0,6,0,0,0,0,0,1,1400,4,1900,24,99.4,
144,Extra2,1,0.51,2.7,99.99,2:7,2,0,7,0,0,0,0,0,1,1400,4,1900,24,99.4,
142,Extra2,1,0.51,2.7,99.99,2:8,2,0,8,0,0,0,0,0,1,1400,4,1900,24,99,
60,Extra2,1,0.51,2.7,99.99,0:5,0,0,5,0,0,0,0,0,1,1400,4,1900,6,74.5,
98,Extra2,1,0.51,2.7,99.99,0.5:5,0.5,0,5,0,0,0,0,0,1,1400,4,1900,6,88.5,
114,Extra2,1,0.51,2.7,99.99,1:5,1,0,5,0,0,0,0,0,1,1400,4,1900,6,98.1,
121,Extra2,1,0.51,2.7,99.99,1.5:5,1.5,0,5,0,0,0,0,0,1,1400,4,1900,6,98.7,
125,Extra2,1,0.51,2.7,99.99,2:5,2,0,5,0,0,0,0,0,1,1400,4,1900,6,98.8,
128,Extra2,1,0.51,2.7,99.99,2.5:5,2.5,0,5,0,0,0,0,0,1,1400,4,1900,6,98.6,
122,Extra2,1,0.51,2.7,99.99,3:5,3,0,5,0,0,0,0,0,1,1400,4,1900,6,98.6,
106,Extra2,1,0.51,2.7,99.99,5:5,5,0,5,0,0,0,0,0,1,1400,4,1900,6,98.6,
65,Extra2,1,0.51,2.7,99.99,0:5,0,0,5,0,0,0,0,0,1,1400,4,1900,24,77.2,
126,Extra2,1,0.51,2.7,99.99,0.5:5,0.5,0,5,0,0,0,0,0,1,1400,4,1900,24,89.6,
145,Extra2,1,0.51,2.7,99.99,1:5,1,0,5,0,0,0,0,0,1,1400,4,1900,24,99.3,
155,Extra2,1,0.51,2.7,99.99,1.5:5,1.5,0,5,0,0,0,0,0,1,1400,4,1900,24,99.8,
154,Extra2,1,0.51,2.7,99.99,2:5,2,0,5,0,0,0,0,0,1,1400,4,1900,24,99.5,
151,Extra2,1,0.51,2.7,99.99,2.5:5,2.5,0,5,0,0,0,0,0,1,1400,4,1900,24,99.2,
143,Extra2,1,0.51,2.7,99.99,3:5,3,0,5,0,0,0,0,0,1,1400,4,1900,24,99.1,
136,Extra2,1,0.51,2.7,99.99,5:5,5,0,5,0,0,0,0,0,1,1400,4,1900,24,98.5,
86,New,1,4.22,4,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,6,1900,12,99.23,
50.1,New2,1,,3,98.9,Yes,2,0,5,0,0,0,0,0,1,400,4,1850,20,,
