Thermal Conductivity(W/mK),Post Sintering Pressure,Oxygen Content,Particle size(d50 um),Purity,Y2O3,MgO,Aluminium,N2/N2:H2 = 1/0,Nitriding Temperature(degC),Nitriding Time(h),Post Sintering Temperature(degC),Post Sintering Time(h)
126,1,0.51,2.7,99.99,2,4,0,1,1400,4,1900,6
125,1,0.51,2.7,99.99,2,5,0,1,1400,4,1900,6
121,1,0.51,2.7,99.99,2,6,0,1,1400,4,1900,6
107,1,0.51,2.7,99.99,2,7,0,1,1400,4,1900,6
98,1,0.51,2.7,99.99,2,8,0,1,1400,4,1900,6
116,1,0.51,2.7,99.99,2,0,0,1,1400,4,1900,24
149,1,0.51,2.7,99.99,2,1,0,1,1400,4,1900,24
154,1,0.51,2.7,99.99,2,2,0,1,1400,4,1900,24
155,1,0.51,2.7,99.99,2,3,0,1,1400,4,1900,24
156,1,0.51,2.7,99.99,2,4,0,1,1400,4,1900,24
154,1,0.51,2.7,99.99,2,5,0,1,1400,4,1900,24
148,1,0.51,2.7,99.99,2,6,0,1,1400,4,1900,24
144,1,0.51,2.7,99.99,2,7,0,1,1400,4,1900,24
142,1,0.51,2.7,99.99,2,8,0,1,1400,4,1900,24
60,1,0.51,2.7,99.99,0,5,0,1,1400,4,1900,6
98,1,0.51,2.7,99.99,0.5,5,0,1,1400,4,1900,6
114,1,0.51,2.7,99.99,1,5,0,1,1400,4,1900,6
121,1,0.51,2.7,99.99,1.5,5,0,1,1400,4,1900,6
125,1,0.51,2.7,99.99,2,5,0,1,1400,4,1900,6
128,1,0.51,2.7,99.99,2.5,5,0,1,1400,4,1900,6
122,1,0.51,2.7,99.99,3,5,0,1,1400,4,1900,6
106,1,0.51,2.7,99.99,5,5,0,1,1400,4,1900,6
65,1,0.51,2.7,99.99,0,5,0,1,1400,4,1900,24
126,1,0.51,2.7,99.99,0.5,5,0,1,1400,4,1900,24
145,1,0.51,2.7,99.99,1,5,0,1,1400,4,1900,24
155,1,0.51,2.7,99.99,1.5,5,0,1,1400,4,1900,24
154,1,0.51,2.7,99.99,2,5,0,1,1400,4,1900,24
151,1,0.51,2.7,99.99,2.5,5,0,1,1400,4,1900,24
143,1,0.51,2.7,99.99,3,5,0,1,1400,4,1900,24
136,1,0.51,2.7,99.99,5,5,0,1,1400,4,1900,24
86,1,4.22,4,99.99,2,5,0,1,1400,6,1900,12
50.1,1,,3,98.9,2,5,0,1,400,4,1850,20
